x,y
44.47277937,894.84375
44.71060172,899.15625
44.94842407,892.6875
45.18624642,890.53125
45.42406877,888.375
45.66189112,884.0625
45.89971347,881.90625
46.13753582,879.75
46.37535817,877.59375
46.61318052,875.4375
46.85100287,875.4375
47.08882521,873.28125
47.32664756,873.28125
47.56446991,877.59375
47.80229226,877.59375
48.04011461,877.59375
48.27793696,877.59375
48.51575931,873.28125
48.75358166,873.28125
48.99140401,877.59375
49.22922636,879.75
49.46704871,875.4375
49.70487106,881.90625
49.94269341,877.59375
50.18051576,879.75
50.41833811,879.75
50.65616046,881.90625
50.89398281,884.0625
51.13180516,886.21875
51.36962751,886.21875
51.60744986,888.375
51.84527221,890.53125
52.08309456,890.53125
52.32091691,894.84375
52.55873926,890.53125
52.7965616,890.53125
53.03438395,888.375
53.2722063,888.375
53.51002865,886.21875
53.747851,890.53125
53.98567335,884.0625
54.2234957,881.90625
54.46131805,886.21875
54.6991404,879.75
54.93696275,877.59375
55.1747851,881.90625
55.41260745,875.4375
55.6504298,877.59375
55.88825215,873.28125
56.1260745,877.59375
56.36389685,875.4375
56.6017192,875.4375
56.83954155,871.125
57.0773639,875.4375
57.31518625,868.96875
57.5530086,866.8125
57.79083095,866.8125
58.0286533,864.65625
58.26647564,862.5
58.50429799,862.5
58.74212034,860.34375
58.97994269,864.65625
59.21776504,858.1875
59.45558739,858.1875
59.69340974,856.03125
59.93123209,860.34375
60.16905444,853.875
60.40687679,851.71875
60.64469914,856.03125
60.88252149,849.5625
61.12034384,847.40625
61.35816619,845.25
61.59598854,845.25
61.83381089,843.09375
62.07163324,840.9375
62.30945559,845.25
62.54727794,838.78125
62.78510029,836.625
63.02292264,834.46875
63.26074499,834.46875
63.49856734,832.3125
63.73638968,832.3125
63.97421203,834.46875
64.21203438,830.15625
64.44985673,830.15625
64.68767908,834.46875
64.92550143,834.46875
65.16332378,832.3125
65.40114613,832.3125
65.63896848,832.3125
65.87679083,834.46875
66.11461318,834.46875
66.35243553,830.15625
66.59025788,830.15625
66.82808023,834.46875
67.06590258,836.625
67.30372493,832.3125
67.54154728,832.3125
67.77936963,836.625
68.01719198,836.625
68.25501433,832.3125
68.49283668,832.3125
68.73065903,830.15625
68.96848138,830.15625
69.20630372,828
69.44412607,825.84375
69.68194842,823.6875
69.91977077,821.53125
70.15759312,819.375
70.39541547,817.21875
70.63323782,815.0625
70.87106017,812.90625
71.10888252,810.75
71.34670487,810.75
71.58452722,812.90625
71.82234957,808.59375
72.06017192,812.90625
72.29799427,812.90625
72.53581662,812.90625
72.77363897,808.59375
73.01146132,812.90625
73.24928367,812.90625
73.48710602,815.0625
73.72492837,810.75
73.96275072,810.75
74.20057307,810.75
74.43839542,815.0625
74.67621777,810.75
74.91404011,810.75
75.15186246,815.0625
75.38968481,808.59375
75.62750716,810.75
75.86532951,810.75
76.10315186,804.28125
76.34097421,802.125
76.57879656,799.96875
76.81661891,799.96875
77.05444126,797.8125
77.29226361,797.8125
77.53008596,802.125
77.76790831,802.125
78.00573066,797.8125
78.24355301,797.8125
78.48137536,802.125
78.71919771,799.96875
78.95702006,799.96875
79.19484241,802.125
79.43266476,808.59375
79.67048711,804.28125
79.90830946,806.4375
80.14613181,812.90625
80.38395415,808.59375
80.6217765,810.75
80.85959885,812.90625
81.0974212,812.90625
81.33524355,815.0625
81.5730659,817.21875
81.81088825,819.375
82.0487106,821.53125
82.28653295,821.53125
82.5243553,823.6875
82.76217765,825.84375
83,828
83.23782235,828
83.4756447,830.15625
83.71346705,832.3125
83.9512894,832.3125
84.18911175,834.46875
84.4269341,834.46875
84.66475645,838.78125
84.9025788,836.625
85.14040115,836.625
85.3782235,840.9375
85.61604585,843.09375
85.85386819,838.78125
86.09169054,843.09375
86.32951289,845.25
86.56733524,840.9375
86.80515759,840.9375
87.04297994,845.25
87.28080229,838.78125
87.51862464,838.78125
87.75644699,840.9375
87.99426934,836.625
88.23209169,840.9375
88.46991404,836.625
88.70773639,840.9375
88.94555874,838.78125
89.18338109,840.9375
89.42120344,843.09375
89.65902579,843.09375
89.89684814,845.25
90.13467049,849.5625
90.37249284,851.71875
90.61031519,851.71875
90.84813754,851.71875
91.08595989,845.25
91.32378223,845.25
91.56160458,843.09375
91.79942693,840.9375
92.03724928,838.78125
92.27507163,836.625
92.51289398,834.46875
92.75071633,832.3125
92.98853868,832.3125
93.22636103,830.15625
93.46418338,830.15625
93.70200573,834.46875
93.93982808,834.46875
94.17765043,830.15625
94.41547278,830.15625
94.65329513,830.15625
94.89111748,830.15625
95.12893983,828
95.36676218,825.84375
95.60458453,821.53125
95.84240688,819.375
96.08022923,815.0625
96.31805158,812.90625
96.55587393,817.21875
96.79369628,806.4375
97.03151862,804.28125
97.26934097,806.4375
97.50716332,797.8125
97.74498567,793.5
97.98280802,789.1875
98.22063037,793.5
