x,n
1339,26
1340,24
1341,20
1342,17
1343,13
1344,9
1345,8
1346,7
1347,5
1348,5
1349,4
1350,4
1351,5
1352,5
1353,4
1354,5
1355,6
1356,5
1357,7
1358,9
1359,10
1360,11
1361,13
1362,14
1363,13
1364,13
1365,11
1366,9
1367,9
1368,4
1369,7
1370,8
1371,10
1372,11
1373,12
1374,12
1375,12
1376,11
1377,12
1378,11
1379,10
1380,9
1381,8
1382,6
1383,4
1384,5
1385,5
1386,4
1387,4
1388,4
1389,4
1390,5
1391,6
1392,6
1393,6
1394,4
1395,5
1396,4
1397,4
1398,4
1399,5
1400,5
1401,5
1402,6
1403,5
1404,5
1405,6
1406,5
1407,5
1408,5
1409,4
1410,3
1411,4
1412,4
1413,4
1414,3
1415,3
1416,3
1417,4
1418,4
1419,4
1420,5
1421,4
1422,4
1423,5
1424,5
1425,5
1426,4
1427,4
1428,4
1429,4
1430,5
1431,6
1432,4
1433,4
1434,6
1435,2
1437,2
1438,2
1439,1
1440,2
